id,name,dataset,time_limit,memory_limit,rating,tags,complexity
p00000,QQ,AIZU,1000,131072,,,
p00001,List of Top 3 Hills,AIZU,1000,131072,,,
p00002,Digit Number,AIZU,1000,131072,,,
p00003,Is it a Right Triangle?,AIZU,1000,131072,,,
p00004,Simultaneous Equation,AIZU,1000,131072,,,
p00005,GCD and LCM,AIZU,1000,131072,,,
p00006,Reverse Sequence,AIZU,1000,131072,,,
p00007,Debt Hell,AIZU,1000,131072,,,
p00008,Sum of 4 Integers,AIZU,1000,131072,,,
p00009,Prime Number,AIZU,1000,131072,,,
p00010,Circumscribed Circle of a Triangle,AIZU,1000,131072,,,
p00011,Drawing Lots,AIZU,1000,131072,,,
p00012,A Point in a Triangle,AIZU,1000,131072,,,
p00013,Switching Railroad Cars,AIZU,1000,131072,,,
p00014,Integral,AIZU,1000,131072,,,
p00015,National Budget,AIZU,1000,131072,,,
p00016,Treasure Hunt,AIZU,1000,131072,,,
p00017,Caesar Cipher,AIZU,1000,131072,,,
p00018,Sorting Five Numbers,AIZU,1000,131072,,,
p00019,Factorial,AIZU,1000,131072,,,
p00020,Capitalize,AIZU,1000,131072,,,
p00021,Parallelism,AIZU,1000,131072,,,
p00022,Maximum Sum Sequence,AIZU,1000,131072,,,
p00023,Circles Intersection,AIZU,1000,131072,,,
p00024,Physical Experiments,AIZU,1000,131072,,,
p00025,Hit and Blow,AIZU,1000,131072,,,
p00026,Dropping Ink,AIZU,1000,131072,,,
p00027,What day is today?,AIZU,1000,131072,,,
p00028,Mode Value,AIZU,1000,131072,,,
p00029,English Sentence,AIZU,1000,131072,,,
p00030,Sum of Integers,AIZU,1000,131072,,,
p00031,Weight,AIZU,1000,131072,,,
p00032,Plastic Board,AIZU,1000,131072,,,
p00033,Ball,AIZU,1000,131072,,,
p00034,Railway Lines,AIZU,1000,131072,,,
p00035,Is it Convex?,AIZU,1000,131072,,,
p00036,A Figure on Surface,AIZU,1000,131072,,,
p00037,Path on a Grid,AIZU,1000,131072,,,
p00038,Poker Hand,AIZU,1000,131072,,,
p00039,Roman Figure,AIZU,1000,131072,,,
p00040,Affine Cipher,AIZU,1000,131072,,,
p00041,Expression,AIZU,1000,131072,,,
p00042,A Thief,AIZU,1000,131072,,,
p00043,Puzzle,AIZU,1000,131072,,,
p00044,Prime Number II,AIZU,1000,131072,,,
p00045,Sum and Average,AIZU,1000,131072,,,
p00046,Differential,AIZU,1000,131072,,,
p00047,Cup Game,AIZU,1000,131072,,,
p00048,Class,AIZU,1000,131072,,,
p00049,Blood Groups,AIZU,1000,131072,,,
p00050,Apple and Peach,AIZU,1000,131072,,,
p00051,Differential II,AIZU,1000,131072,,,
p00052,Factorial II,AIZU,1000,131072,,,
p00053,Sum of Prime Numbers,AIZU,1000,131072,,,
p00054,Sum of Nth decimal places,AIZU,1000,131072,,,
p00055,Sequence,AIZU,1000,131072,,,
p00056,Goldbach's Conjecture,AIZU,1000,131072,,,
p00057,The Number of Area,AIZU,1000,131072,,,
p00058,Orthogonal,AIZU,1000,131072,,,
p00059,Intersection of Rectangles,AIZU,1000,131072,,,
p00060,Card Game,AIZU,1000,131072,,,
p00061,Rank Checker,AIZU,1000,131072,,,
p00062,What is the Bottommost?,AIZU,1000,131072,,,
p00063,Palindrome,AIZU,1000,131072,,,
p00064,Secret Number,AIZU,1000,131072,,,
p00065,Trading,AIZU,1000,131072,,,
p00066,Tic Tac Toe,AIZU,1000,131072,,,
p00067,The Number of Island,AIZU,1000,131072,,,
p00068,Enclose Pins with a Rubber Band,AIZU,1000,131072,,,
p00069,Drawing Lots II,AIZU,1000,131072,,,
p00070,Combination of Number Sequences,AIZU,1000,131072,,,
p00071,Bombs Chain,AIZU,1000,131072,,,
p00072,Carden Lantern,AIZU,1000,131072,,,
p00073,Surface Area of Quadrangular Pyramid,AIZU,1000,131072,,,
p00074,Videotape,AIZU,1000,131072,,,
p00075,BMI,AIZU,1000,131072,,,
p00076,Treasure Hunt II,AIZU,1000,131072,,,
p00077,Run Length,AIZU,1000,131072,,,
p00078,Magic Square,AIZU,1000,131072,,,
p00079,Area of Polygon,AIZU,1000,131072,,,
p00080,Third Root,AIZU,1000,131072,,,
p00081,A Symmetric Point,AIZU,1000,131072,,,
p00082,Flying Jenny,AIZU,1000,131072,,,
p00083,Era Name Transformation,AIZU,1000,131072,,,
p00084,Search Engine,AIZU,1000,131072,,,
p00085,Joseph's Potato,AIZU,1000,131072,,,
p00086,Patrol,AIZU,1000,131072,,,
p00087,Strange Mathematical Expression,AIZU,1000,131072,,,
p00088,The Code A Doctor Loved,AIZU,1000,131072,,,
p00089,The Shortest Path on A Rhombic Path,AIZU,1000,131072,,,
p00090,Overlaps of Seals,AIZU,1000,131072,,,
p00091,Blur,AIZU,8000,131072,,,
p00092,Square Searching,AIZU,1000,131072,,,
p00093,Leap Year,AIZU,1000,131072,,,
p00094,Calculation of Area,AIZU,1000,131072,,,
p00095,Surf Smelt Fishing Contest,AIZU,1000,131072,,,
p00096,Sum of 4 Integers II,AIZU,1000,131072,,,
p00097,Sum of Integers II,AIZU,1000,131072,,,
p00098,Maximum Sum Sequence II,AIZU,1000,131072,,,
p00099,Surf Smelt Fishing Contest II,AIZU,1000,131072,,,
p00100,Sale Result,AIZU,1000,131072,,,
p00101,Aizu PR,AIZU,1000,131072,,,
p00102,Matrix-like Computation,AIZU,1000,131072,,,
p00103,Baseball Simulation,AIZU,1000,131072,,,
p00104,Magical Tiles,AIZU,1000,131072,,,
p00105,Book Index,AIZU,1000,131072,,,
p00106,Discounts of Buckwheat,AIZU,1000,131072,,,
p00107,Carry a Cheese,AIZU,1000,131072,,,
p00108,Operation of Frequency of Appearance,AIZU,1000,131072,,,
p00109,Smart Calculator,AIZU,1000,131072,,,
p00110,Alphametic,AIZU,1000,131072,,,
